category,exact_japanese,reconstructed_japanese,romaji,chosen_english,alternative_readings,first_occurrence,notes
Artifact,たいむべると,タイムベルト,taimuberuto,Time Belt,time belt,TT1B/g3/r7,Belt-shaped time machine; capitalization retained as an item name.
Artifact,たいむましん,タイムマシン,taimumashin,time machine,,TT1B/g3/r8,General technology term.
Artifact,まふうじのつぼ,魔封じの壺,mafuujinotsubo,Demon-Sealing Jar,demon-binding jar,TT1B/g0/r15,Museum artifact and key sealing vessel.
Artifact,さばとのはこ,サバトの箱,sabatonohako,Sabbath Box,Witches' Sabbath box,TT1B/g0/r14,Museum exhibit said to hold soul contracts.
Artifact,いましめのすず,戒めの鈴,imashimenosuzu,Warding Bell,Bell of Admonition,TT1B/g0/r16,Museum exhibit; English favors function.
Artifact,あくまのて,悪魔の手,akumanote,Devil's Hand,,TT1B/g0/r17,"A bronze statue, not merely a symbol."
Artifact,まもりふだ,守り札,mamorifuda,protective charm,amulet,TT1B/g0/r18,Recurring warding object.
Supernatural,まらどぅる ばらお がらどぅーら,マラドゥル・バラオ・ガラドゥーラ,maraduru barao garaduura,Maradul Barao Garadura,Galdura variant,TT1A/g0/r29,Incantation; variants in the source are preserved and noted.
Time travel,たいむとらべる,タイムトラベル,taimutoraberu,time travel,,TT1A/g0/r1,General concept.
Time travel,たいむわーぷ,タイムワープ,taimuwaapu,time warp,time jump,TT1B/g2/r12,The game's term for historical transit.
Historical period,1428ねん,1428年,1428nen,1428,,TT2/g0/r25,France/Jeanne chapter.
Historical period,1944ねん 7がつ,1944年7月,1944nen 7gatsu,July 1944,,TT3A/g0/r14,German POW chapter.
Historical period,1864ねん 9がつ,1864年9月,1864nen 9gatsu,September 1864,,TT5/g1/r6,Atlanta/Civil War chapter.
Historical period,きげんぜん 4ねんごろ,紀元前4年頃,kigenzen 4nengoro,circa 4 BC,around 4 BCE,TT6A/g0/r8,The game uses BC-era framing.
Command,みる,見る,miru,LOOK,Examine,T22/g1/r0,Core menu command.
Command,はなす,話す,hanasu,TALK,Speak,TT1B/fixed/r1,Core menu command.
Command,いどう,移動,idou,MOVE,Go,TT1B/fixed/r2,Core menu command.
Command,つかう,使う,tsukau,USE,,TT1B/fixed/r10,Core menu command.
Command,とる,取る,toru,TAKE,Get,TT1A/g0/r7,Core menu command.
Command,きく,聞く／訊く,kiku,ASK / LISTEN,Hear,TT1A/g0/r2,Context determines whether it means ask or listen.
Interface,さいしょから,最初から,saishokara,START,From the beginning,NOV2/start,Start-menu label.
Interface,しばらく おまちください,しばらくお待ちください,shibaraku omachikudasai,PLEASE WAIT…,,TT1A/g0/r21,System wait prompt.
Interface,ぜんぺん,前編,zenpen,PART 1,first part,NOV2/disk/r0,Zenpen disk label.
Interface,こうへん,後編,kouhen,PART 2,second part,TT3B/g1/r25,Kouhen disk label.
Graphics,タイムツイスト,タイムツイスト,taimutsuisuto,TIME TWIST,,TITLE/wordmark,Title wordmark.
Graphics,歴史のかたすみで……,歴史の片隅で……,歴史nokatasumide……,On the Outskirts of History…,In a Corner of History,TITLE/subtitle,Requested localized subtitle.
Register,いわゆるひとつの,いわゆる一つの,iwayuruhitotsuno,what you might call…,one of those…,TT1B/g0/r31,Comic Nagashima-associated verbal mannerism.
Slang,ぼいん,ボイン,boin,quite a pair / big breasts,,TT1B/g1/r14,"Dated, objectifying slang; tone is intentionally crude."
