sequential_entry_number,original_record_id,bank,record_type,exact_japanese_source,romaji,reconstructed_japanese,literal_english_meaning,linguistic_and_cultural_notes,speaker_or_narration_identity,current_english,problems_with_current_english,final_natural_english_translation,patch_safe_english_translation,confidence_level,unresolved_ambiguity,translation_status,scene,source_location,apparent_capacity,source_control_codes,patch_control_codes,control_codes_match,problem_categories,dialect_or_register,requires_gameplay_context,requires_technical_expansion,nuance_lost_in_patch_safe_version
13,TT1A/g0/r12,TT1A,scenario,なぐりたいやつが3にんいじょう いる,naguritaiyatsuga3ninijou iru,なぐりたいやつが3にんいじょう いる,Do you want to hit 3 or more people?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Do you want to hit      3 or more people?,Accurate,Do you want to hit 3 or more people?,Do you want to hit      3 or more people?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 12,current draft 41 visible characters; longest control-delimited segment 41/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
14,TT1A/g0/r13,TT1A,scenario,ひとり ひざをかかえてないたことがある,hitori hizaokakaetenaitakotogaaru,ひとり ひざをかかえてないたことがある,Have you curled up and cried?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Have you curled up and  cried?,Accurate,Have you curled up and cried?,Have you curled up and  cried?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 13,current draft 30 visible characters; longest control-delimited segment 30/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
15,TT1A/g0/r14,TT1A,scenario,あそぶじかんをけずってまで しごとをしたくない,asobujikanokezuttemade shigotooshitakunai,あそぶじかんをけずってまで しごとをしたくない,Don't want work cutting into your free time?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Don't want work cutting into your free time?,Accurate,Don't want work cutting into your free time?,Don't want work cutting into your free time?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 14,current draft 44 visible characters; longest control-delimited segment 44/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
16,TT1A/g0/r15,TT1A,scenario,ぶらんどには こだわるほうだ,burandoniha kodawaruhouda,ぶらんどには こだわるほうだ,Do brand names matter?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Do brand names matter?,Accurate,Do brand names matter?,Do brand names matter?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 15,current draft 22 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
17,TT1A/g0/r16,TT1A,scenario,あしたできることは きょうしない,ashitadekirukotoha kyoushinai,あしたできることは きょうしない,Do you leave work until tomorrow?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Do you leave work until tomorrow?,Accurate,Do you leave work until tomorrow?,Do you leave work until tomorrow?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 16,current draft 33 visible characters; longest control-delimited segment 33/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
18,TT1A/g0/r17,TT1A,scenario,じぶんをまもるのは けっきょくじぶんだけだ,jibunomamorunoha kekkyokujibundakeda,じぶんをまもるのは けっきょくじぶんだけだ,Do you believe only you can protect yourself?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Do you believe only you can protect yourself?,Accurate,Do you believe only you can protect yourself?,Do you believe only you can protect yourself?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 17,current draft 45 visible characters; longest control-delimited segment 45/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
19,TT1A/g0/r18,TT1A,scenario,しょうらいは しゃかいのやくにたちたい,shouraiha shakainoyakunitachitai,しょうらいは しゃかいのやくにたちたい,Want to help society someday?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Want to help society    someday?,Accurate,Want to help society someday?,Want to help society    someday?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 18,current draft 32 visible characters; longest control-delimited segment 32/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
20,TT1A/g0/r19,TT1A,scenario,ふとくみじかく いきたい,futokumijikaku ikitai,ふとくみじかく いきたい,"Do you want a brief, full life?",Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,"Do you want a brief,    full life?",Accurate,"Do you want a brief, full life?","Do you want a brief,    full life?",High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 19,current draft 34 visible characters; longest control-delimited segment 34/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
21,TT1A/g0/r20,TT1A,scenario,あいがあれば なにもいらない,aigaareba nanimoiranai,あいがあれば なにもいらない,Is love all you need?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Is love all you need?,Accurate,Is love all you need?,Is love all you need?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 20,current draft 21 visible characters; longest control-delimited segment 21/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
22,TT1A/g0/r21,TT1A,scenario,しばらく おまちください,shibaraku omachikudasai,しばらく おまちください,Please wait.,polite です/ます register Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Please wait.,Accurate,Please wait.,Please wait.,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 21,current draft 12 visible characters; longest control-delimited segment 12/24 columns; final fit depends on group recompression,,,yes,Accurate,polite です/ます register,no,no,
23,TT1A/g0/r22,TT1A,scenario,あなたのせいかくは……,anatanoseikakuha……,あなたのせいかくは……,Your personality is…,"ellipsis carries hesitation, silence, or timing Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Narration / protagonist's internal observation / interaction text,Your personality is...,Accurate,Your personality is…,Your personality is...,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 22,current draft 22 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,,,yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
24,TT1A/g0/r23,TT1A,scenario,あらそいをこのまない くーるなへいわしゅぎしゃ{CTRL:0}じょうほうかんりにすぐれた いんてりたいぷです{CTRL:2}しゃこうてきなはんめん そしきにぞくすることを{CTRL:0}きらい ふかいつきあいをさけているうちに{CTRL:4}こりつしてしまうことも しばしば{CTRL:3}そういうじぶんさえ きゃっかんてきに{CTRL:4}ぶんせきしてしまう どくとくのせいかくです,arasoiokonomanai kuurunaheiwashugisha / jouhoukanrinisugureta interitaipudesu / shakoutekinahanmen soshikinizokusurukotoo / kirai fukaitsukiaiosaketeiruuchini / koritsushiteshimaukotomo shibashiba / souiujibunsae kyakkantekini / bunsekishiteshimau dokutokunoseikakudesu,あらそいをこのまない くーるな平和主義者 情報管理にすぐれた いんてりたいぷです しゃこうてきなはんめん そしきにぞくすることを きらい ふかいつきあいをさけているうちに こりつしてしまうことも しばしば そういうじぶんさえ きゃっかんてきに ぶんせきしてしまう どくとくのせいかくです,"You avoid conflict. A cool-headed pacifist. Good with information. Social, but hate groups. You avoid close bonds. Often ending up alone. Self-aware and unusual.",polite です/ます register Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,"You avoid conflict.{CTRL:0}A cool-headed pacifist.{CTRL:2}Good with information.{CTRL:0}Social, but hate groups.{CTRL:4}You avoid close bonds.{CTRL:3}Often ending up alone.{CTRL:4}Self-aware and unusual.",Accurate,"You avoid conflict. A cool-headed pacifist. Good with information. Social, but hate groups. You avoid close bonds. Often ending up alone. Self-aware and unusual.","You avoid conflict.{CTRL:0}A cool-headed pacifist.{CTRL:2}Good with information.{CTRL:0}Social, but hate groups.{CTRL:4}You avoid close bonds.{CTRL:3}Often ending up alone.{CTRL:4}Self-aware and unusual.",High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 23,current draft 155 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,2,0,4,3,4","0,2,0,4,3,4",yes,Accurate,polite です/ます register,no,no,
25,TT1A/g0/r24,TT1A,scenario,しんちょうで けいかくせいがあるため{CTRL:0}しっぱいはすくないが へいぼんになりやすい{CTRL:2}すじをとおし こつこつとどりょくする{CTRL:0}きまじめでがんこな がくしゃたいぷです{CTRL:3}ひとにきをつかいすぎて つかれてしまうことが{CTRL:4}あり れんあいもぶきようですが{CTRL:4}ないめんはとても ろまんちすとです,shinchoude keikakuseigaarutame / shippaihasukunaiga heibonninariyasui / sujiotooshi kotsukotsutodoryokusuru / kimajimedegankona gakushataipudesu / hitonikiotsukaisugite tsukareteshimaukotoga / ari renaimobukiyoudesuga / naimenhatotemo romanchisutodesu,しんちょうで けいかくせいがあるため しっぱいはすくないが へいぼんになりやすい すじをとおし こつこつとどりょくする きまじめでがんこな がくしゃたいぷです ひとにきをつかいすぎて つかれてしまうことが あり れんあいもぶきようですが ないめんはとても ろまんちすとです,"Cautious, methodical. Rarely fail, yet plain. Principled, diligent scholarly, earnest, firm You care till worn out and fumble at romance, but romantic inside.",polite です/ます register Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,"Cautious, methodical.{CTRL:0}Rarely fail, yet plain.{CTRL:2}Principled, diligent{CTRL:0}scholarly, earnest, firm{CTRL:3}You care till worn out{CTRL:4}and fumble at romance,{CTRL:4}but romantic inside.",Accurate,"Cautious, methodical. Rarely fail, yet plain. Principled, diligent scholarly, earnest, firm You care till worn out and fumble at romance, but romantic inside.","Cautious, methodical.{CTRL:0}Rarely fail, yet plain.{CTRL:2}Principled, diligent{CTRL:0}scholarly, earnest, firm{CTRL:3}You care till worn out{CTRL:4}and fumble at romance,{CTRL:4}but romantic inside.",High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 24,current draft 152 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,2,0,3,4,4","0,2,0,3,4,4",yes,Accurate,polite です/ます register,no,no,
26,TT1A/g0/r25,TT1A,scenario,らくてんてきで だれにでもすかれる{CTRL:0}こせいゆたかな にんきもの{CTRL:2}すきなことには ねっちゅうするけれども{CTRL:0}きがむかないときは とたんにやるきをうしなって{CTRL:4}おもわぬぽかをしたりします{CTRL:3}こうきしんと するどいひらめきは{CTRL:4}じゃーなりすとに むいています,rakutentekide darenidemosukareru / koseiyutakana ninkimono / sukinakotoniha netchuusurukeredomo / kigamukanaitokiha totanniyarukioushinatte / omowanupokaoshitarishimasu / koukishinto surudoihiramekiha / jaanarisutoni muiteimasu,らくてんてきで だれにでもすかれる こせいゆたかな にんきもの すきなことには ねっちゅうするけれども きがむかないときは とたんにやるきをうしなって おもわぬぽかをしたりします こうきしんと するどいひらめきは じゃーなりすとに むいています,"Optimistic and popular, with unique charm. You chase what you like Moods sap your drive. Mistakes often follow. Curiosity, sharp insight fit you for journalism.",polite です/ます register Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,"Optimistic and popular,{CTRL:0}with unique charm.{CTRL:2}You chase what you like{CTRL:0}Moods sap your drive.{CTRL:4}Mistakes often follow.{CTRL:3}Curiosity, sharp insight{CTRL:4}fit you for journalism.",Accurate,"Optimistic and popular, with unique charm. You chase what you like Moods sap your drive. Mistakes often follow. Curiosity, sharp insight fit you for journalism.","Optimistic and popular,{CTRL:0}with unique charm.{CTRL:2}You chase what you like{CTRL:0}Moods sap your drive.{CTRL:4}Mistakes often follow.{CTRL:3}Curiosity, sharp insight{CTRL:4}fit you for journalism.",High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 25,current draft 154 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,2,0,4,3,4","0,2,0,4,3,4",yes,Accurate,polite です/ます register,no,no,
27,TT1A/g0/r26,TT1A,scenario,なにごとにもひたむきで ねっしん{CTRL:1}ものごとの ほんすじをみつめるめをもった{CTRL:0}せいじかたいぷです{CTRL:6}めいよをおもんじるが きんせんにはうとく{CTRL:4}じこしゅちょうのつよさが しばしばわがままに{CTRL:4}かわりやすくなります{CTRL:3}どらまちっくなれんあいを いつもゆめみています,nanigotonimohitamukide nesshin / monogotono honsujiomitsumerumeomotta / seijikataipudesu / meiyooomonjiruga kinsennihautoku / jikoshuchounotsuyosaga shibashibawagamamani / kawariyasukunarimasu / doramachikkunarenaio itsumoyumemiteimasu,なにごとにもひたむきで ねっしん ものごとの ほんすじをみつめるめをもった せいじかたいぷです めいよをおもんじるが きんせんにはうとく じこしゅちょうのつよさが しばしばわがままに かわりやすくなります どらまちっくなれんあいを いつもゆめみています,"Earnest, passionate. You see what matters, a born politician. Honor matters. Bad with money. Views can turn selfish. Dream of dramatic love.",polite です/ます register Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,"Earnest, passionate.{CTRL:1}You see what matters,{CTRL:0}a born politician.{CTRL:6}Honor matters.{CTRL:4}Bad with money.{CTRL:4}Views can turn selfish.{CTRL:3}Dream of dramatic love.",Accurate,"Earnest, passionate. You see what matters, a born politician. Honor matters. Bad with money. Views can turn selfish. Dream of dramatic love.","Earnest, passionate.{CTRL:1}You see what matters,{CTRL:0}a born politician.{CTRL:6}Honor matters.{CTRL:4}Bad with money.{CTRL:4}Views can turn selfish.{CTRL:3}Dream of dramatic love.",High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 26,current draft 134 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,"1,0,6,4,4,3","1,0,6,4,4,3",yes,Accurate,polite です/ます register,no,no,
