bank,index,full_label,visible_fallback,slot_bytes,representation,technical_route
TT3A,74,Register,REGSTR,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,80,Delon,DLN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,81,Belmondo,BELMO,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,82,Philippe,PHIL,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,84,Montgomery,MONTY,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,85,Patton,PTTN,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,86,Eisenhower,EISEN,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,87,Roosevelt,ROOSVLT,7,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,88,Churchill,CHRCHL,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,89,MacArthur,MACARTH,7,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,92,Broom,BRM,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,94,Woman,WMN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3B,7,Simon,SIM,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3B,16,Ask,AS,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3B,17,Road,RD,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3B,18,Text,TX,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,0,Look,SE,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,4,Ask,AS,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,5,Smell,SN,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,9,Body,BOD,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,10,Glass,GLS,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,13,Drink,DR,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,14,Robe,RB,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,15,Key,KY,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,22,Bottle,BT,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,23,Wear,ON,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,24,Remove,OF,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,26,Damascus,DAM,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,27,Jerusalem,JERUS,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,28,Crimea,CRI,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,29,Hundred Years,100,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,30,Pacific,PAC,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,31,Merchants,MER,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,32,Commoners,COM,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,33,Actors,ACT,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,34,Criminals,CRK,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,36,Zois,ZOI,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,37,Geld,GEL,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,40,da Vinci,VINCI,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,41,Lacoste,CST,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,42,De Palma,PAL,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,45,U Thant,THA,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,46,Tools,TLS,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,51,White,WT,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,56,All,AL,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,59,Building,BLD,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,61,Town,TN,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT2,63,Woman,WMN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,7,Woman,WMN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,8,Robe,RB,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,9,Key,KY,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,11,Remove,OF,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,15,Passage,PS,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,18,Well,WL,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,20,Hill,HL,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,21,Jail,JAL,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,23,Box,B,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,24,Paper,PPR,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,25,Back,BCK,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
T22,31,Prison,PRIS,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,0,Look,SE,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,1,Down,D,2,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,3,Take,GT,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,4,Jar,JR,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,6,Ask,AS,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,10,Joseph,JOS,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,12,Baby,B,2,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,14,My body,MY BOD,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,15,Kashim,KSH,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,16,Body,BOD,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,17,Time Belt,TBELT,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,22,Ground,GND,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,23,Hill,HL,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,24,Panel,PNL,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,25,Yes,YS,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,26,Lid,LD,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,27,North,N,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,29,West,W,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,30,South,S,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,31,Road,RD,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,33,Paper,P,2,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,34,Text,TX,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,35,Outside,OT,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,36,Four,4,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,37,Five,5,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,38,Six,6,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,39,Seven,7,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,44,Glazier,GLZR,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,45,Blacksmith,SMT,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,46,Tavern,TAVN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,47,Tailor,TLR,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,48,Catherine,CATH,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,49,Mylene,MYLEN,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,50,Laura,LRA,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,51,Isabel,ISABL,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,52,Morocco,MOROC,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,53,Rebecca,REBEC,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,56,Austria,AUST,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,57,France,FRAN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,58,Switzerland,SWIS,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,59,Belgium,BELG,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,60,Plantain,PLANT,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,62,Fish mint,DOKU,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,63,Swertia,SENBR,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,64,Daedalus,DAEDL,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,65,Centaur,CENTA,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,66,Atlas,ATL,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,67,Cerberus,CERBR,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,70,Tom,TM,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,71,Jim,JM,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,72,Serow,SRW,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,73,Coyote,COY,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,74,Reindeer,REIN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,80,Magdala,MAGDA,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,81,Nazareth,NZR,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,82,Bethlehem,BETH,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,83,Jerusalem,JERUS,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,84,Bishop,BISH,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,88,Jeanne,JEAN,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,89,Alexander,ALEX,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,90,Lincoln,LINC,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6C,93,Right,R,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,2,Smell,SM,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,6,Joseph,JOS,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,8,Body,BOD,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,9,Soil,SL,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,10,Glare,GLR,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,19,North,N,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,21,West,W,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,22,South,S,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,23,Forward,FWD,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,24,Back,BCK,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,28,Trough,TRGH,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,29,Horse,HR,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,33,Wisdom,WIS,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,34,Knowledge,KNOW,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,36,Baal,BAL,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,37,Jehovah,JHV,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,39,Jordan,JORDN,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,40,Syria,SYR,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,43,Solomon,SOLO,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,44,Samson,SAM,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,45,Jacob,JAC,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,46,Isaac,ISC,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,47,Saddam,SADM,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,48,Abraham,ABRAM,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,49,Satan,SATN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,50,Christ,CST,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,51,Zoroaster,ZORO,7,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6B,58,Praise,PRSE,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6A,23,Right house,R H,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6A,24,Left house,L HSE,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6A,25,River,RV,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6A,28,Bowl,BL,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6A,30,Bracelet,BRC,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6A,31,Necklace,NECK,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6A,32,Wheat,WT,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6A,36,Tools,TOOL,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6A,37,Stand,BD,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT6A,38,On stand,ON BD,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT4,0,Look,SE,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT4,4,Silver coin,S,2,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
